Indicator_EN,Variable_EN - Final Discharge,Unit_EN,Geography_EN,Temporal Ref - Year_EN,Temporal Ref - Year_AR,Value,Variable_EN - Final Discharge_Dispose in Gulf Water,Variable_EN - Final Discharge_Dispose inValleys,Variable_EN - Final Discharge_Dispose to Lagoon,Variable_EN - Final Discharge_Irrigation,Variable_EN - Final Discharge_Other,Variable_EN - Final Discharge_Storage,Variable_EN - Final Discharge_Treated Wasewater,Unit_EN_%,Unit_EN_Million M3,Unit_EN_m3 / yearly,Geography_EN_Abu Dhabi,Geography_EN_Ajman,Geography_EN_Dubai,Geography_EN_Fujairah,Geography_EN_Ras Al-Khaimah ,Geography_EN_Sharjah,Geography_EN_Total ,Geography_EN_Total %,Geography_EN_Umm Al-Quwain ,Indicator_EN_Treated Wastewater Distribution
Treated Wastewater Distribution,Dispose in Gulf Water,Million M3,Fujairah,2017,2017,7.117744,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
Treated Wastewater Distribution,Dispose in Gulf Water,Million M3,Total ,2017,2017,186.3913155226094,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
Treated Wastewater Distribution,Dispose in Gulf Water,%,Total %,2017,2017,25.340320360498996,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
Treated Wastewater Distribution,Other,Million M3,Abu Dhabi,2017,2017,8.84204751800001,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True
Treated Wastewater Distribution,Other,Million M3,Dubai,2017,2017,30.2,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
Treated Wastewater Distribution,Other,Million M3,Sharjah,2017,2017,0.18542,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
Treated Wastewater Distribution,Other,Million M3,Ajman,2017,2017,5.222737,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True
Treated Wastewater Distribution,Other,Million M3,Umm Al-Quwain ,2017,2017,0,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True
Treated Wastewater Distribution,Other,Million M3,Ras Al-Khaimah ,2017,2017,0.5868105,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
Treated Wastewater Distribution,Other,Million M3,Fujairah,2017,2017,0.353245,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
Treated Wastewater Distribution,Other,Million M3,Total ,2017,2017,45.39026001800001,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
Treated Wastewater Distribution,Other,%,Total %,2017,2017,6.17090837562627,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
Treated Wastewater Distribution,Treated Wasewater,Million M3,Abu Dhabi,2016,2016,325916360.5260279,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True
Treated Wastewater Distribution,Treated Wasewater,Million M3,Dubai,2016,2016,257739291.70967743,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True
Treated Wastewater Distribution,Treated Wasewater,Million M3,Sharjah,2016,2016,98800236,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True
Treated Wastewater Distribution,Treated Wasewater,Million M3,Ajman,2016,2016,30124344,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True
Treated Wastewater Distribution,Treated Wasewater,Million M3,Umm Al-Quwain ,2016,2016,0,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True
Treated Wastewater Distribution,Treated Wasewater,Million M3,Ras Al-Khaimah ,2016,2016,13312884,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True
Treated Wastewater Distribution,Treated Wasewater,Million M3,Fujairah,2016,2016,7161160,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True
Treated Wastewater Distribution,Treated Wasewater,Million M3,Total ,2016,2016,733054276.2357054,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True
